customer_id,customer_name,email,phone_number,state,country
a1bf720a-b3f7-44e4-82ef-ac82b48d375e,Norma Fisher,normafisher1515@gmail.com,+44 8764759382,Scotland,UK
c6146d6a-2d36-4e29-95ee-9fd3ca54272a,Danielle Browning,daniellebrowning1077@gmail.com,+44 4115781565,Scotland,UK
bc07bfa3-7a53-478c-bc56-f094ce74d7cf,Sean Green,seangreen3822@gmail.com,+44 1609753513,Wales,UK
37291234-c763-4814-b8f6-546a6e5b4ae4,Brenda Daniels,brendadaniels4349@gmail.com,+1 1587148418,Saskatchewan,CA
701ebcfe-2c71-4464-be99-9147cb8b0ea7,Lindsey Matthews,lindseymatthews4654@gmail.com,+91 1965934232,Bihar,IN
541a7afc-02f1-4290-a7fe-b89186542175,Brandon Todd,brandontodd5148@gmail.com,+1 0186848339,Prince Edward Island,CA
e4361da6-c4dc-448e-b5ef-6adf8c286230,Matthew Davies,matthewdavies3345@gmail.com,+1 1591795330,Alabama,US
64322ecb-81ee-4b5a-bb3e-855324dd9d42,Christopher Simmons,christophersimmons6439@gmail.com,+61 1230989101,Tasmania,AU
28013b00-de6e-47a0-95d0-c652a49c3d11,Brandon Bass,brandonbass272@gmail.com,+91 0903217300,Punjab,IN
f0897ff9-b76c-4aef-bd09-22643addc368,David Walker,davidwalker7710@gmail.com,+1 5620870916,Prince Edward Island,CA
7245b561-2eb1-480c-b06a-63e4da28e0b8,Julie Barrera,juliebarrera8163@gmail.com,+1 3022584197,Alabama,US
1b8d048f-b195-4a8e-a46c-07fc7228797e,Stephanie Golden,stephaniegolden5054@gmail.com,+1 5642807150,Nova Scotia,CA
96f086f3-c423-4bd2-b9a2-fd3c9234d9a7,Troy Bell,troybell2326@gmail.com,+1 5992466109,Alaska,US
34cdf504-946a-4abf-96f2-64482a341a74,Mark Gray,markgray5275@gmail.com,+1 0696027142,Ontario,CA
80b3214c-ea32-4d56-9c57-b6f83f9ebe92,Lindsey Smith,lindseysmith6237@gmail.com,+61 7547063812,Western Australia,AU
19288b74-3838-4e46-9791-98d217921f10,Daniel Love,daniellove9901@gmail.com,+61 8913193442,Western Australia,AU
f8215b4f-60ad-4c63-ae76-48f59d5e1154,Alison Sloan,alisonsloan2165@gmail.com,+1 4285124000,Nova Scotia,CA
269e1091-8e0e-4216-964a-b0a5e38784ac,Jacob Bradley,jacobbradley6914@gmail.com,+61 9776582369,New South Wales,AU
f5964350-9b14-4c83-a1eb-a57487ef9693,Gavin Clarke,gavinclarke3420@gmail.com,+1 5900422945,Florida,US
8992ff1f-b314-43f0-a75d-24079a256d44,John Allen,johnallen6448@gmail.com,+91 4281465461,Madhya Pradesh,IN
76f61b31-5a20-415a-8e6d-b15494258106,Ryan Cherry,ryancherry9224@gmail.com,+91 1717604522,Telangana,IN
5c8a14c8-6396-47cc-973d-4435e58cf9d4,Bradley Brady,bradleybrady3249@gmail.com,+1 6016884779,Delaware,US
77bf03ea-7307-4811-82c9-cd48516ba3b0,William Green,williamgreen8657@gmail.com,+91 6351108731,Karnataka,IN
461850c1-65bc-42ad-a533-0ada0424aeae,Andrew Gould,andrewgould1229@gmail.com,+1 9213765821,Manitoba,CA
58da6b8a-8418-4463-b039-ccd9bb6c8586,Margaret Henderson,margarethenderson7281@gmail.com,+91 5773893055,Bihar,IN
e72d2e22-5498-462e-a6ab-0461d4e1372f,David Mueller,davidmueller2807@gmail.com,+91 9471180132,Telangana,IN
382a027e-973d-4a2a-80b7-a4897f6d454a,Joan Atkins,joanatkins3252@gmail.com,+61 7586880918,Queensland,AU
891853d7-1a4c-48dd-b60c-ceb9b5e9a41e,Christine Nichols,christinenichols1947@gmail.com,+91 7699300248,Himachal Pradesh,IN
59dcc455-1871-4659-abee-a6447083a548,Scott Hahn,scotthahn3978@gmail.com,+1 6660223450,Colorado,US
2b028556-a641-4d11-9818-6b278457be32,Steve Guzman,steveguzman5240@gmail.com,+1 2560976701,Quebec,CA
d9f89152-c337-4f21-87cc-ec60bc4b7a2b,Luis Soto,luissoto313@gmail.com,+91 8536710979,Jharkhand,IN
0f688caa-8fa1-4fd9-a689-3ef34347e338,Samuel Mullen,samuelmullen7070@gmail.com,+44 4183067537,Scotland,UK
212acd57-4026-412d-95f8-de2be9bffab8,Amanda Scott,amandascott5716@gmail.com,+91 8993318868,Tamil Nadu,IN
92d3fad3-cdda-4967-b41c-4110656093ab,Keith Livingston,keithlivingston4384@gmail.com,+1 6116207660,Florida,US
fb139bbc-9a61-4b26-b889-b8d581a3ad2f,Benjamin Howard,benjaminhoward115@gmail.com,+1 5520351923,Prince Edward Island,CA
3714c440-9f6b-4dd8-9366-09fd2f32082c,Elaine Norris,elainenorris6553@gmail.com,+44 2271754203,Wales,UK
35f30a48-8fde-4e8f-ba34-53998e778c9d,Elizabeth Johns,elizabethjohns8932@gmail.com,+44 2911894262,Northern Ireland,UK
872f3b10-0366-4a7c-bea2-22a40790735a,Cynthia White,cynthiawhite5379@gmail.com,+61 6029061126,Australian Capital Territory,AU
950fcdae-d3ff-4dde-9178-8de01388301e,Brenda Henderson,brendahenderson9900@gmail.com,+1 1375806606,Florida,US
6f7767db-dc92-47ba-aa4e-321fe0338bc8,Tristan Davis,tristandavis5415@gmail.com,+61 1418927626,Queensland,AU
9c31de7e-57c4-47ff-a701-c77ad943c52c,Gina Mills,ginamills2817@gmail.com,+91 7173407970,Haryana,IN
4e8f040d-f745-4485-9247-772a1a4da76e,Lori Gardner,lorigardner3525@gmail.com,+61 6717386401,Northern Territory,AU
7b998fc0-671a-4220-bed2-5ffa8735bbbe,Joseph Perkins,josephperkins2677@gmail.com,+1 7145439101,Arizona,US
e0c0e5ca-e9fe-4c02-93c7-6ca59d110fec,Joseph Wright,josephwright4453@gmail.com,+44 1644829838,Wales,UK
1db4d209-9cd2-41f7-9609-bf705dca1be8,Richard French,richardfrench4099@gmail.com,+44 7592211669,Scotland,UK
8ca0fb5e-73e1-4668-98d3-d52815e5b6ee,Heather Kennedy,heatherkennedy8746@gmail.com,+91 3778570742,Haryana,IN
3857354a-2829-4474-91a0-a658c5d10325,Henry Myers,henrymyers8187@gmail.com,+1 8116050190,Delaware,US
64a03469-a811-4555-abe2-b14565e433df,Kenneth Lee,kennethlee9959@gmail.com,+1 7562566272,Newfoundland and Labrador,CA
9182e3f9-89a9-47c6-b756-c2634bfd38e5,Cody Bailey,codybailey4809@gmail.com,+1 6763373906,California,US
